SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400432,2024-12-28T00:00:00,DEN vs. DET,W,37.233333333333334,11,17,0.647,4,5,0.8,11,14,0.786,1,8,9,8,2,0,0,0,4,11,37,25,57.8,0,0,58.0,1,1,1,1,38,32,42,22,5,27,7,3,3,38,55,46,54,50,44,63,34,1,59,4,14,9,51,60,35,37,1,37:14
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400424,2024-12-27T00:00:00,DEN vs. CLE,L,35.75,12,19,0.632,0,3,0.0,3,4,0.75,3,11,14,13,1,3,0,0,1,5,27,-15,71.3,1,1,60.0,1,47,47,47,48,27,32,25,59,38,59,45,45,41,22,22,22,13,58,8,34,1,8,36,39,67,19,1,1,32,1,35:45
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400409,2024-12-25T00:00:00,DEN @ PHX,L,37.8,10,19,0.526,2,7,0.286,3,4,0.75,5,10,15,2,2,2,0,1,1,4,25,-3,50.0,1,0,48.0,1,47,47,47,32,41,32,49,24,11,47,45,45,41,7,31,18,69,44,19,34,29,8,49,50,56,60,1,35,58,1,37:48
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400402,2024-12-23T00:00:00,DEN vs. PHX,W,29.743333333333332,12,17,0.706,4,6,0.667,4,5,0.8,0,2,2,7,1,0,0,0,1,6,32,19,43.9,0,0,45.0,1,1,1,1,66,27,42,10,5,20,10,35,39,31,64,69,70,57,58,63,34,1,8,24,26,20,65,60,35,62,1,29:45
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400390,2024-12-22T00:00:00,DEN @ NOP,W,42.56666666666667,11,20,0.55,2,3,0.667,3,5,0.6,2,11,13,10,3,1,1,3,5,5,27,6,60.6,1,1,56.0,1,1,1,1,5,32,26,41,24,38,10,45,39,58,39,22,33,27,31,40,11,67,66,36,39,39,47,1,1,42,1,42:34
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400371,2024-12-19T00:00:00,DEN @ POR,L,36.61666666666667,13,18,0.722,4,6,0.667,4,4,1.0,0,6,6,8,3,1,0,1,4,2,34,-5,53.2,0,0,54.0,1,47,47,47,43,18,38,8,5,20,10,35,45,1,64,59,67,50,31,40,34,29,59,67,20,59,57,60,35,49,1,36:37
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022401225,2024-12-16T00:00:00,DEN @ SAC,W,38.3,8,19,0.421,1,6,0.167,3,4,0.75,2,12,14,13,5,2,1,0,0,3,20,4,60.3,1,1,54.0,1,1,1,1,24,56,32,66,42,20,57,45,45,41,39,16,22,13,9,19,11,1,1,55,58,44,48,1,1,49,1,38:18
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022401213,2024-12-13T00:00:00,DEN vs. LAC,W,29.95,6,9,0.667,2,2,1.0,2,4,0.5,0,7,7,2,5,2,0,1,2,2,16,14,28.4,0,0,31.0,1,1,1,1,65,63,67,18,24,53,1,54,45,60,64,52,62,69,9,19,34,29,22,67,67,23,70,60,35,70,1,29:57
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400350,2024-12-08T00:00:00,DEN @ ATL,W,35.05,17,29,0.586,3,6,0.5,11,13,0.846,3,11,14,8,3,3,0,0,2,7,48,25,82.8,1,0,79.0,1,1,1,1,52,6,7,33,9,20,24,3,4,26,22,22,22,50,31,8,34,1,22,17,3,9,9,1,35,6,1,35:03
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400341,2024-12-07T00:00:00,DEN @ WAS,L,38.65,22,39,0.564,3,6,0.5,9,13,0.692,7,9,16,8,5,1,0,5,5,11,56,-1,85.2,1,0,85.0,1,47,47,47,21,1,1,38,9,20,24,9,4,51,2,39,15,50,9,40,34,70,66,4,2,52,6,1,35,2,1,38:39
