GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,MIN,OFF_RATING,DEF_RATING,NET_RATING,PACE,TS_PCT,FTA_RATE,TM_AST_PCT,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT_MR,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_FG3_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT
-1626158-1629673-1641731-1642267-1642273-,R. Holmes - J. Poole - B. Coulibaly - B. Carrington - K. George,1610612764,WAS,54.6,107.0,116.5,-9.6,101.19,0.569,0.158,0.708,0.465,0.535,0.033,0.138,0.065,0.439,0.708,0.292,0.435,0.55,0.28,0.157
-202696-1628989-1629632-1630200-1641824-,N. Vučević - K. Huerter - C. White - T. Jones - M. Buzelis,1610612741,CHI,54.5,104.3,114.3,-10.0,104.02,0.592,0.07,0.714,0.49,0.51,0.033,0.156,0.049,0.475,0.714,0.286,0.304,0.548,0.122,0.076
-1628991-1630217-1630590-1641744-1642377-,J. Jackson Jr. - D. Bane - S. Pippen Jr. - Z. Edey - J. Wells,1610612763,MEM,54.4,118.1,97.6,20.5,112.06,0.624,0.28,0.519,0.673,0.327,0.12,0.06,0.173,0.387,0.519,0.481,0.386,0.49,0.243,0.165
-1627759-1628401-1629674-1630202-1630573-,J. Brown - D. White - N. Queta - P. Pritchard - S. Hauser,1610612738,BOS,54.4,136.5,140.0,-3.5,90.05,0.696,0.168,0.691,0.526,0.474,0.099,0.07,0.099,0.423,0.691,0.309,0.419,0.59,0.179,0.07
-203932-203999-1629008-1629618-1631128-,A. Gordon - N. Jokić - M. Porter Jr. - J. Pickett - C. Braun,1610612743,DEN,54.3,136.1,111.8,24.3,96.34,0.654,0.183,0.714,0.596,0.404,0.054,0.122,0.116,0.463,0.714,0.286,0.396,0.557,0.208,0.055
-1630231-1630548-1641729-1642268-1642271-,K. Martin - J. Juzang - B. Sensabaugh - I. Collier - K. Filipowski,1610612762,UTA,54.3,123.1,129.4,-6.3,104.37,0.635,0.181,0.679,0.543,0.457,0.028,0.146,0.118,0.417,0.679,0.321,0.4,0.588,0.219,0.084
-1626167-1627783-1629614-1630174-1631097-,M. Turner - P. Siakam - A. Nembhard - A. Nesmith - B. Mathurin,1610612754,IND,54.1,105.8,95.8,10.0,106.01,0.587,0.316,0.574,0.674,0.326,0.142,0.142,0.197,0.472,0.574,0.426,0.296,0.441,0.11,0.118
-202681-202691-1629029-1629655-1630230-,K. Irving - K. Thompson - L. Dončić - D. Gafford - N. Marshall,1610612742,DAL,54.1,116.9,113.6,3.4,104.74,0.65,0.24,0.577,0.563,0.438,0.058,0.217,0.13,0.464,0.577,0.423,0.286,0.544,0.123,0.068
-202331-203954-1626162-1628997-1630178-,P. George - J. Embiid - K. Oubre Jr. - C. Martin - T. Maxey,1610612755,PHI,53.9,101.7,107.7,-6.0,104.23,0.561,0.348,0.658,0.576,0.424,0.067,0.151,0.261,0.37,0.658,0.342,0.413,0.575,0.14,0.256
-1628415-1630224-1630578-1631095-1631106-,D. Brooks - J. Green - A. Sengun - J. Smith Jr. - T. Eason,1610612745,HOU,53.9,94.9,103.4,-8.6,103.8,0.551,0.217,0.535,0.674,0.326,0.072,0.117,0.135,0.523,0.535,0.465,0.455,0.559,0.245,0.138
-204456-1627783-1628418-1631097-1641767-,T. McConnell - P. Siakam - T. Bryant - B. Mathurin - B. Sheppard,1610612754,IND,53.8,116.9,101.6,15.3,109.73,0.619,0.215,0.685,0.607,0.393,0.097,0.2,0.138,0.414,0.685,0.315,0.409,0.53,0.22,0.156
-201143-201950-1628369-1628401-1629674-,A. Horford - J. Holiday - J. Tatum - D. White - N. Queta,1610612738,BOS,53.8,129.9,101.9,28.1,95.93,0.647,0.17,0.588,0.45,0.55,0.014,0.144,0.108,0.403,0.588,0.412,0.279,0.481,0.104,0.139
-201587-1627739-1627826-1629599-1629645-,N. Batum - K. Dunn - I. Zubac - A. Coffey - K. Porter Jr.,1610612746,LAC,53.6,106.3,95.6,10.7,100.36,0.572,0.05,0.647,0.703,0.297,0.068,0.237,0.025,0.576,0.647,0.353,0.375,0.522,0.141,0.177
-203484-1629048-1630532-1631094-1641710-,K. Caldwell-Pope - G. Bitadze - F. Wagner - P. Banchero - A. Black,1610612753,ORL,53.5,96.4,116.7,-20.2,98.61,0.513,0.196,0.465,0.701,0.299,0.185,0.139,0.12,0.444,0.465,0.535,0.293,0.574,0.234,0.13
-201572-203081-203507-1629018-1631260-,B. Lopez - D. Lillard - G. Antetokounmpo - G. Trent Jr. - A. Green,1610612749,MIL,53.5,118.3,102.6,15.7,103.58,0.641,0.348,0.646,0.543,0.457,0.059,0.11,0.162,0.382,0.646,0.354,0.298,0.468,0.153,0.095
-201566-203932-203999-1631128-1631212-,R. Westbrook - A. Gordon - N. Jokić - C. Braun - P. Watson,1610612743,DEN,53.5,121.7,114.7,7.1,103.64,0.698,0.44,0.7,0.667,0.333,0.043,0.179,0.2,0.5,0.7,0.3,0.354,0.571,0.283,0.121
-201142-203486-1626145-1626220-1628960-,K. Durant - M. Plumlee - T. Jones - R. O'Neale - G. Allen,1610612756,PHX,53.5,140.4,103.4,36.9,103.21,0.782,0.226,0.672,0.473,0.527,0.038,0.1,0.106,0.35,0.672,0.328,0.238,0.524,0.146,0.095
-203114-1641731-1642259-1642267-1642273-,K. Middleton - B. Coulibaly - A. Sarr - B. Carrington - K. George,1610612764,WAS,53.4,113.7,109.5,4.2,104.75,0.601,0.24,0.745,0.56,0.44,0.06,0.256,0.165,0.391,0.745,0.255,0.435,0.602,0.068,0.172
-202685-1630557-1641731-1642267-1642273-,J. Valančiūnas - C. Kispert - B. Coulibaly - C. Carrington - K. George,1610612764,WAS,53.1,109.7,128.6,-18.8,101.76,0.647,0.321,0.659,0.571,0.429,0.081,0.129,0.177,0.403,0.659,0.341,0.474,0.64,0.19,0.098
-1628983-1629652-1630198-1631096-1631114-,S. Gilgeous-Alexander - L. Dort - I. Joe - C. Holmgren - J. Williams,1610612760,OKC,53.0,120.5,115.8,4.7,102.3,0.59,0.179,0.784,0.519,0.481,0.089,0.178,0.119,0.415,0.784,0.216,0.41,0.615,0.146,0.149
-1626168-1627734-1628370-1628989-1631165-,T. Lyles - D. Sabonis - M. Monk - K. Huerter - K. Ellis,1610612758,SAC,52.9,116.4,123.5,-7.1,102.05,0.562,0.17,0.826,0.462,0.538,0.031,0.156,0.125,0.375,0.826,0.174,0.405,0.621,0.212,0.157
-1629673-1630557-1641731-1642259-1642273-,J. Poole - C. Kispert - B. Coulibaly - A. Sarr - K. George,1610612764,WAS,52.9,115.1,105.0,10.1,111.7,0.652,0.306,0.627,0.592,0.408,0.014,0.152,0.172,0.441,0.627,0.373,0.281,0.476,0.274,0.117
-201939-1626172-1627741-1627780-1630228-,S. Curry - K. Looney - B. Hield - G. Payton II - J. Kuminga,1610612744,GSW,52.6,119.5,98.3,21.2,106.77,0.605,0.226,0.679,0.538,0.462,0.071,0.163,0.092,0.369,0.679,0.321,0.268,0.473,0.33,0.181
-201142-203078-203486-1626164-1628960-,K. Durant - B. Beal - M. Plumlee - D. Booker - G. Allen,1610612756,PHX,52.5,120.5,122.5,-2.0,104.21,0.692,0.419,0.694,0.581,0.419,0.099,0.128,0.199,0.383,0.694,0.306,0.462,0.602,0.312,0.099
-1630166-1630703-1631101-1641739-1641871-,D. Avdija - S. Henderson - S. Sharpe - T. Camara - D. Reath,1610612757,POR,52.3,129.7,122.8,6.9,106.5,0.66,0.26,0.607,0.558,0.442,0.026,0.092,0.137,0.444,0.607,0.393,0.485,0.69,0.241,0.158
-1627751-1630534-1630558-1630567-1641711-,J. Poeltl - O. Agbaji - D. Mitchell - S. Barnes - G. Dick,1610612761,TOR,52.3,105.7,109.0,-3.3,99.62,0.552,0.181,0.619,0.649,0.351,0.071,0.232,0.125,0.429,0.619,0.381,0.304,0.505,0.429,0.117
-202696-1628366-1629632-1630245-1630581-,N. Vučević - L. Ball - C. White - A. Dosunmu - J. Giddey,1610612741,CHI,52.0,105.3,123.0,-17.7,104.7,0.562,0.129,0.628,0.475,0.525,0.033,0.133,0.1,0.317,0.628,0.372,0.333,0.617,0.084,0.106
-201142-203078-1626164-1626220-1630208-,K. Durant - B. Beal - D. Booker - R. O'Neale - N. Richards,1610612756,PHX,52.0,112.7,103.6,9.1,101.97,0.581,0.204,0.563,0.673,0.327,0.145,0.089,0.137,0.452,0.563,0.438,0.372,0.505,0.192,0.144
-202699-203501-1627736-1631093-1631105-,T. Harris - T. Hardaway Jr. - M. Beasley - J. Ivey - J. Duren,1610612765,DET,52.0,103.8,124.5,-20.7,96.06,0.559,0.299,0.641,0.586,0.414,0.073,0.118,0.182,0.418,0.641,0.359,0.39,0.583,0.068,0.118
-1628374-1628381-1629012-1641718-1642271-,L. Markkanen - J. Collins - C. Sexton - K. George - K. Filipowski,1610612762,UTA,51.9,117.3,127.3,-10.0,101.77,0.635,0.264,0.652,0.538,0.462,0.016,0.202,0.147,0.419,0.652,0.348,0.447,0.661,0.333,0.155
-201143-1627759-1628369-1628401-1628436-,A. Horford - J. Brown - J. Tatum - D. White - L. Kornet,1610612738,BOS,50.9,123.8,101.9,21.8,96.61,0.63,0.151,0.542,0.538,0.462,0.016,0.08,0.08,0.448,0.542,0.458,0.308,0.505,0.187,0.106
-202696-203897-1630172-1630245-1630581-,N. Vučević - Z. LaVine - P. Williams - A. Dosunmu - J. Giddey,1610612741,CHI,50.8,102.5,110.1,-7.6,112.95,0.585,0.242,0.644,0.589,0.411,0.065,0.179,0.138,0.407,0.644,0.356,0.324,0.559,0.218,0.168
-201142-1626145-1626164-1626220-1630208-,K. Durant - T. Jones - D. Booker - R. O'Neale - N. Richards,1610612756,PHX,50.8,105.7,132.4,-26.7,98.33,0.576,0.154,0.756,0.571,0.429,0.143,0.054,0.116,0.286,0.756,0.244,0.463,0.691,0.157,0.108
-1629022-1629656-1630215-1630542-1641737-,L. Walker IV - Q. Grimes - J. Butler - M. Bagley - A. Bona,1610612755,PHI,50.7,111.8,113.6,-1.8,104.21,0.607,0.228,0.543,0.565,0.435,0.033,0.179,0.13,0.472,0.543,0.457,0.417,0.538,0.143,0.164
-203924-1629028-1630703-1631101-1641739-,J. Grant - D. Ayton - S. Henderson - S. Sharpe - T. Camara,1610612757,POR,50.6,109.8,102.8,7.0,103.4,0.583,0.277,0.659,0.66,0.34,0.146,0.114,0.195,0.39,0.659,0.341,0.222,0.512,0.451,0.123
