gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0022401210,356,PT11M12.00S,3,1610612750,MIN,1630162,Edwards,A. Edwards,-148,29,15,Made,1,52,47,99,h,Edwards 15' Pullup Jump Shot (9 PTS),Made Shot,Pullup Jump shot,1,2,264
0022401210,357,PT10M59.00S,3,1610612747,LAL,203076,Davis,A. Davis,66,235,24,Missed,1,,,0,v,MISS Davis 24' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,265
0022401210,358,PT10M56.00S,3,1610612750,MIN,203497,Gobert,R. Gobert,0,0,0,,0,,,0,h,Gobert REBOUND (Off:4 Def:4),Rebound,Unknown,1,0,266
0022401210,359,PT10M43.00S,3,1610612750,MIN,1630162,Edwards,A. Edwards,-197,159,25,Missed,1,,,0,h,MISS Edwards 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,267
0022401210,360,PT10M40.00S,3,1610612747,LAL,203076,Davis,A. Davis,0,0,0,,0,,,0,v,Davis REBOUND (Off:1 Def:4),Rebound,Unknown,1,0,268
0022401210,361,PT10M24.00S,3,1610612747,LAL,1629060,Hachimura,R. Hachimura,18,36,4,Missed,1,,,0,v,MISS Hachimura 4' Driving Layup,Missed Shot,Driving Layup Shot,1,2,269
0022401210,362,PT10M22.00S,3,1610612750,MIN,1630183,McDaniels,J. McDaniels,0,0,0,,0,,,0,h,McDaniels REBOUND (Off:1 Def:3),Rebound,Unknown,1,0,270
0022401210,363,PT10M16.00S,3,1610612750,MIN,1630183,McDaniels,J. McDaniels,110,225,25,Missed,1,,,0,h,MISS McDaniels 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,271
0022401210,364,PT10M12.00S,3,1610612750,MIN,203944,Randle,J. Randle,0,0,0,,0,,,0,h,Randle REBOUND (Off:1 Def:1),Rebound,Unknown,1,0,272
0022401210,366,PT10M04.00S,3,1610612750,MIN,1630162,Edwards,A. Edwards,-126,13,13,Made,1,54,47,101,h,Edwards 13' Pullup Jump Shot (11 PTS) (Gobert 1 AST),Made Shot,Pullup Jump shot,1,2,273
0022401210,368,PT09M44.00S,3,1610612747,LAL,1630559,Reaves,A. Reaves,31,104,11,Missed,1,,,0,v,MISS Reaves 11' Floating Jump Shot,Missed Shot,Floating Jump shot,1,2,274
0022401210,368,PT09M44.00S,3,1610612750,MIN,1630162,Edwards,A. Edwards,0,0,0,,0,,,0,h,Edwards BLOCK (1 BLK),,,1,2,275
0022401210,370,PT09M42.00S,3,1610612750,MIN,203497,Gobert,R. Gobert,0,0,0,,0,,,0,h,Gobert REBOUND (Off:4 Def:5),Rebound,Unknown,1,0,276
0022401210,371,PT09M23.00S,3,1610612750,MIN,1630162,Edwards,A. Edwards,0,0,0,,0,,,0,h,Edwards Bad Pass Turnover (P3.T6),Turnover,Bad Pass,1,0,277
0022401210,371,PT09M23.00S,3,1610612747,LAL,1629216,Vincent,G. Vincent,0,0,0,,0,,,0,v,Vincent STEAL (1 STL),,,1,0,278
0022401210,373,PT09M19.00S,3,1610612747,LAL,1629216,Vincent,G. Vincent,-114,216,24,Made,1,54,50,104,v,Vincent 24' 3PT Running Pull-Up Jump Shot (3 PTS),Made Shot,Running Pull-Up Jump Shot,1,3,279
0022401210,374,PT09M02.00S,3,1610612750,MIN,203944,Randle,J. Randle,2,63,6,Missed,1,,,0,h,MISS Randle 6' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,2,280
0022401210,375,PT09M00.00S,3,1610612750,MIN,203944,Randle,J. Randle,0,0,0,,0,,,0,h,Randle REBOUND (Off:2 Def:1),Rebound,Unknown,1,0,281
0022401210,376,PT09M00.00S,3,1610612747,LAL,1630559,Reaves,A. Reaves,0,0,0,,0,,,0,v,Reaves P.FOUL (P1.T1) (P.Ransom),Foul,Personal,1,0,282
0022401210,378,PT08M53.00S,3,1610612750,MIN,1630183,McDaniels,J. McDaniels,0,0,0,,0,,,0,h,McDaniels Offensive Charge Foul (P1) (M.Davis),Foul,Offensive Charge,1,0,283
0022401210,380,PT08M53.00S,3,1610612750,MIN,1630183,McDaniels,J. McDaniels,0,0,0,,0,,,0,h,McDaniels Offensive Foul Turnover (P1.T7),Turnover,Offensive Foul Turnover,1,0,284
0022401210,381,PT08M36.00S,3,1610612747,LAL,1631108,Christie,M. Christie,-74,40,8,Missed,1,,,0,v,MISS Christie 8' Turnaround Jump Shot,Missed Shot,Turnaround Jump Shot,1,2,285
0022401210,382,PT08M32.00S,3,1610612747,LAL,203076,Davis,A. Davis,0,0,0,,0,,,0,v,Davis REBOUND (Off:2 Def:4),Rebound,Unknown,1,0,286
