GAME_DATE,OPPONENT,IS_HOME,MURRAY_OUT,WON_GAME,SEASON_AVG_REB,ROLL_3_REB,ROLL_5_REB,ROLL_10_REB,HEAD2HEAD_AVG_REB,OPP_REB,OPP_DEF_RATING,OPP_PACE,IS_HOME,DAYS_RESTED,WON_GAME,MURRAY_OUT,SEASON_AVG_REB_MURRAY_OUT,REB
2021-11-01,MEM,0,1,0,14.833333333333334,13.666666666666666,15.2,,15.0,44.333333333333336,95.3549848942598,0.4265234899328859,0,2.0,0,1,11.266666666666667,7
2021-11-03,MEM,0,1,0,13.714285714285714,14.0,13.4,,13.0,46.0,99.52938183668276,0.4221208053691274,0,2.0,0,1,11.129032258064516,11
2021-11-06,HOU,1,1,1,13.375,12.333333333333334,11.8,,12.0,45.333333333333336,96.49771858428905,0.4505,1,3.0,1,1,11.125,14
2021-11-08,MIA,1,1,1,13.444444444444445,10.666666666666666,13.4,,10.5,42.0,114.6264819311527,0.3889444444444444,1,2.0,1,1,11.212121212121213,15
2021-11-12,ATL,1,1,1,13.6,13.333333333333334,13.2,13.6,10.0,39.0,106.50733861540458,0.4277222222222222,1,4.0,1,1,11.323529411764708,19
2021-11-14,POR,1,1,1,14.090909090909092,16.0,13.2,14.2,8.88888888888889,47.0,108.4321120689655,0.4124444444444445,1,2.0,1,1,11.542857142857144,9
2021-11-15,DAL,0,1,0,13.666666666666666,14.333333333333334,13.6,13.5,11.5,45.666666666666664,114.71626391528646,0.4092222222222222,0,1.0,0,1,11.47222222222222,16
2021-11-18,PHI,1,1,0,13.846153846153848,14.666666666666666,14.6,13.2,9.5,42.333333333333336,103.50640593391772,0.4119444444444444,1,3.0,0,1,11.594594594594597,10
2021-11-29,MIA,0,1,1,13.571428571428571,11.666666666666666,13.8,13.6,12.0,42.333333333333336,105.04774897680764,0.4072222222222222,0,11.0,1,1,11.552631578947368,15
2021-12-01,ORL,0,1,0,13.666666666666666,13.666666666666666,13.8,13.5,12.0,44.666666666666664,91.62129863231976,0.4183888888888888,0,2.0,0,1,11.64102564102564,15
2021-12-04,NYK,0,1,1,13.75,13.333333333333334,13.0,13.1,11.0,42.0,111.81348558999456,0.4086666666666667,0,3.0,1,1,11.725,11
