TEAM,level_1,PTS,REB,AST,FGA,FGM,FG_PCT,FG3A,FG3M,FG3_PCT,FTA,FTM,FT_PCT,OREB,TOV,MIN,DATE,DEF_RATING,PACE
New,1905,126.0,46.666666666666664,31.0,94.0,45.0,0.4793333333333334,39.0,15.333333333333334,0.38400000000000006,27.0,20.666666666666668,0.7680000000000001,13.0,13.666666666666666,248.33333333333334,"JAN 20, 2025",118.25804029533225,0.4290469798657718
New,472,113.66666666666667,42.0,29.333333333333332,89.66666666666667,42.666666666666664,0.47600000000000015,31.666666666666668,10.666666666666666,0.33266666666666667,21.333333333333332,17.666666666666668,0.8150000000000001,9.0,12.666666666666666,248.33333333333334,"JAN 21, 2025",110.65680166147456,0.4136375838926175
New,1906,116.0,40.666666666666664,29.0,87.33333333333333,42.0,0.4826666666666668,34.333333333333336,12.333333333333334,0.3546666666666667,25.0,19.666666666666668,0.7903333333333333,7.666666666666667,11.666666666666666,248.33333333333334,"JAN 24, 2025",113.35504885993485,0.41208053691275165
New,473,122.66666666666667,43.333333333333336,33.0,91.66666666666667,45.666666666666664,0.4990000000000001,32.666666666666664,13.0,0.38999999999999996,23.0,18.333333333333332,0.8103333333333333,11.333333333333334,11.0,240.0,"JAN 25, 2025",120.90944933631226,0.4227222222222223
New,1907,120.33333333333333,42.333333333333336,30.333333333333332,90.66666666666667,43.0,0.4726666666666668,33.666666666666664,13.0,0.38066666666666665,27.0,21.333333333333332,0.8046666666666668,11.333333333333334,12.0,240.0,"JAN 25, 2025",116.5870042630151,0.4300555555555556
New,474,126.0,46.0,31.0,99.0,46.666666666666664,0.4650000000000001,37.0,14.0,0.37200000000000005,22.333333333333332,18.666666666666668,0.8346666666666667,14.333333333333334,11.333333333333334,240.0,"JAN 27, 2025",119.0626181176767,0.44094444444444447
New,1908,113.0,43.666666666666664,24.666666666666668,93.66666666666667,42.333333333333336,0.4460000000000001,34.333333333333336,10.333333333333334,0.28600000000000003,24.666666666666668,18.0,0.7380000000000001,10.666666666666666,11.666666666666666,240.0,"JAN 27, 2025",107.08870356330553,0.4396666666666667
New,475,123.0,42.333333333333336,28.666666666666668,96.66666666666667,47.666666666666664,0.4910000000000001,35.333333333333336,12.333333333333334,0.3373333333333333,22.0,15.333333333333334,0.7040000000000001,9.666666666666666,9.0,240.0,"JAN 29, 2025",116.38909916729752,0.4403333333333333
New,1909,120.66666666666667,39.0,28.333333333333332,92.66666666666667,46.0,0.4950000000000001,31.0,11.666666666666666,0.37000000000000005,23.333333333333332,17.0,0.7326666666666668,7.333333333333333,8.333333333333334,240.0,"JAN 29, 2025",116.10006414368185,0.4330555555555556
New,1910,124.66666666666667,39.666666666666664,26.666666666666668,93.0,47.666666666666664,0.5120000000000001,34.0,14.666666666666666,0.4336666666666667,19.666666666666668,14.666666666666666,0.7383333333333334,8.666666666666666,10.333333333333334,240.0,"JAN 31, 2025",120.660730416828,0.4305
New,450,121.33333333333333,42.666666666666664,26.666666666666668,93.66666666666667,46.333333333333336,0.49433333333333346,32.0,13.333333333333334,0.41533333333333333,20.0,15.333333333333334,0.7616666666666667,12.0,13.333333333333334,240.0,"FEB 01, 2025",116.89145793192036,0.4325
New,451,117.33333333333333,44.0,24.333333333333332,92.66666666666667,45.0,0.48566666666666675,30.333333333333332,10.333333333333334,0.331,22.666666666666668,17.0,0.7403333333333334,12.666666666666666,14.333333333333334,240.0,"FEB 03, 2025",112.4888150325962,0.43461111111111106
